cmdCode,refYear,reporterISO,reporterDesc,cmdDesc,partnerISO,primaryValue,qty,partner2Code,customsCode,motCode
2710,2019,FIN,Finland,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",W00,2775980758.996,0.0,0,C00,0
2710,2019,FRA,France,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",W00,24040053262.268,0.0,0,C00,0
2710,2019,PYF,French Polynesia,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",W00,198334046.432,294510741.45,0,C00,0
2710,2019,GAB,Gabon,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",W00,210155642.57,295149085.09,0,C00,0
2710,2019,GEO,Georgia,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",W00,758432934.2,0.0,0,C00,0
2710,2019,GMB,Gambia,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",W00,73113760.32,117398068.0,0,C00,0
2710,2019,PSE,State of Palestine,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",W00,519607493.81,491772412.548,0,C00,0
2711,2019,ECU,Ecuador,Petroleum gases and other gaseous hydrocarbons,W00,385563838.641,1011520459.114,0,C00,0
2711,2019,SLV,El Salvador,Petroleum gases and other gaseous hydrocarbons,W00,232032085.0,540585787.18,0,C00,0
2711,2019,ETH,Ethiopia,Petroleum gases and other gaseous hydrocarbons,W00,7490895.76,10143432.48,0,C00,0
2711,2019,EST,Estonia,Petroleum gases and other gaseous hydrocarbons,W00,131110332.058,0.0,0,C00,0
2711,2019,FJI,Fiji,Petroleum gases and other gaseous hydrocarbons,W00,23973051.16,33414656.345,0,C00,0
2711,2019,FIN,Finland,Petroleum gases and other gaseous hydrocarbons,W00,119587746.003,0.0,0,C00,0
2711,2019,FRA,France,Petroleum gases and other gaseous hydrocarbons,W00,13442610952.337,40540991435.343,0,C00,0
2711,2019,PYF,French Polynesia,Petroleum gases and other gaseous hydrocarbons,W00,8591873.3,9306436.179,0,C00,0
2711,2019,GAB,Gabon,Petroleum gases and other gaseous hydrocarbons,W00,21166441.638,36876448.063,0,C00,0
2711,2019,GEO,Georgia,Petroleum gases and other gaseous hydrocarbons,W00,327974048.12,1015615015.601,0,C00,0
2711,2019,GMB,Gambia,Petroleum gases and other gaseous hydrocarbons,W00,319234.792,167553.57,0,C00,0
2711,2019,PSE,State of Palestine,Petroleum gases and other gaseous hydrocarbons,W00,79409344.58,233924333.461,0,C00,0
29,2019,ECU,Ecuador,Organic chemicals,W00,327033241.352,0.0,0,C00,0
29,2019,SLV,El Salvador,Organic chemicals,W00,94505386.51,0.0,0,C00,0
29,2019,ETH,Ethiopia,Organic chemicals,W00,124937171.62,0.0,0,C00,0
29,2019,EST,Estonia,Organic chemicals,W00,158001685.241,0.0,0,C00,0
29,2019,FJI,Fiji,Organic chemicals,W00,5751958.68,0.0,0,C00,0
29,2019,FIN,Finland,Organic chemicals,W00,1091862005.669,0.0,0,C00,0
29,2019,FRA,France,Organic chemicals,W00,15423680527.111,0.0,0,C00,0
29,2019,PYF,French Polynesia,Organic chemicals,W00,1442184.993,0.0,0,C00,0
29,2019,GAB,Gabon,Organic chemicals,W00,7696799.399,0.0,0,C00,0
29,2019,GEO,Georgia,Organic chemicals,W00,34427296.84,0.0,0,C00,0
29,2019,GMB,Gambia,Organic chemicals,W00,88110.222,0.0,0,C00,0
29,2019,PSE,State of Palestine,Organic chemicals,W00,31565167.82,0.0,0,C00,0
3002,2019,ECU,Ecuador,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",W00,192686007.404,3873112.282,0,C00,0
3002,2019,SLV,El Salvador,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",W00,37312858.3,363593.26,0,C00,0
3002,2019,ETH,Ethiopia,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",W00,56076955.04,0.0,0,C00,0
3002,2019,EST,Estonia,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",W00,57523669.519,109475.805,0,C00,0
3002,2019,FJI,Fiji,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",W00,4319620.514,93777.9,0,C00,0
3002,2019,FIN,Finland,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",W00,488424036.487,44941.973,0,C00,0
3002,2019,FRA,France,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",W00,7080811191.398,13827917.4,0,C00,0
3002,2019,PYF,French Polynesia,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",W00,14860691.934,21611.912,0,C00,0
3002,2019,GAB,Gabon,"Blood, human or animal; for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, modified immunological products, (from biotechnological processes or not); vaccines, toxins, micro-organism cultures (not yeasts), similar products",W00,2985819.237,16085.08,0,C00,0
3002,2019,GEO,Georgia,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",W00,28777223.04,102756.47,0,C00,0
3002,2019,GMB,Gambia,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",W00,92864.07,0.0,0,C00,0
3002,2019,PSE,State of Palestine,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",W00,28135959.49,74170.069,0,C00,0
3004,2019,ECU,Ecuador,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",W00,716220065.7,43540656.428,0,C00,0
3004,2019,SLV,El Salvador,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",W00,361665152.3,15715394.51,0,C00,0
3004,2019,ETH,Ethiopia,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",W00,555846700.23,0.0,0,C00,0
3004,2019,EST,Estonia,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",W00,473852204.284,3420434.448,0,C00,0
3004,2019,FJI,Fiji,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",W00,18902126.145,1021884.449,0,C00,0
3004,2019,FIN,Finland,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",W00,1566372768.739,147664.206,0,C00,0
3004,2019,FRA,France,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",W00,15786329779.004,282976883.815,0,C00,0
3004,2019,PYF,French Polynesia,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",W00,67983455.253,1250965.836,0,C00,0
3004,2019,GAB,Gabon,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",W00,85845278.187,3256793.55,0,C00,0
3004,2019,GEO,Georgia,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",W00,355175072.25,11266545.47,0,C00,0
3004,2019,GMB,Gambia,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",W00,3718207.725,1361358.0,0,C00,0
3004,2019,PSE,State of Palestine,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",W00,149865469.42,1175493.652,0,C00,0
8471,2019,ECU,Ecuador,"Automatic data processing machines and units thereof, magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",W00,238099825.05,2602129.253,0,C00,0
8471,2019,SLV,El Salvador,"Automatic data processing machines and units thereof, magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",W00,101840143.22,0.0,0,C00,0
8471,2019,ETH,Ethiopia,"Automatic data processing machines and units thereof, magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",W00,137020372.02,0.0,0,C00,0
